name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors,domestic_revenue,international_revenue,worldwide_revenue,budget
The Manor,62,32,51,"['Horror', 'Mystery & Thriller']",,1h 21m,2021,"['Barbara Hershey', 'Bruce Davison', 'Nicholas Alexander', 'Jill Larson', 'Fran Bennett']",['Axelle Carolyn'],115000000,889,115000889,0
Despicable Me 3,59,53,56,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 30m,2017,"['Steve Carell', 'Kristen Wiig', 'Trey Parker', 'Miranda Cosgrove', 'Dana Gaier']","['Pierre Coffin', 'Kyle Balda']",1208479,0,1208479,0
The Ones Below,76,47,66,['Mystery & Thriller'],R,1h 27m,2015,"['Clémence Poésy', 'David Morrissey', 'Stephen Campbell Moore', 'Laura Birn', 'Deborah Findlay']",['David Farr'],7993039,7966,8001005,0
Clifford,13,67,31,"['Kids & Family', 'Comedy']",PG,1h 29m,1994,"['Martin Short', 'Charles Grodin', 'Mary Steenburgen', 'Dabney Coleman', 'Richard Kind']",['Paul Flaherty'],52853219,16558151,69411370,50000000
The Painted Veil,74,85,77,"['Drama', 'Romance']",PG-13,2h 5m,2006,"['Naomi Watts', 'Ed Norton', 'Liev Schreiber', 'Diana Rigg', 'Zoe Telford']",['John Curran'],95697,0,95697,0
How to Change the World,95,87,92,['Documentary'],,1h 53m,2015,"['Jerry Rothwell', 'Jerry Rothwell', 'Al Morrow', 'Bous De Jong', 'Ben Lichty']",['Jerry Rothwell'],7362439,1940583,9303022,0
The Electrical Life of Louis Wain,69,72,70,"['Biography', 'Drama']",PG-13,1h 51m,2021,"['Sophia Di Martino', 'Benedict Cumberbatch', 'Claire Foy', 'Andrea Riseborough', 'Toby Jones']",['Will Sharpe'],100489151,0,100489151,0
Barfly,76,82,78,"['Comedy', 'Drama']",R,1h 40m,1987,"['Mickey Rourke', 'Faye Dunaway', 'Alice Krige', 'Jack Nance', 'J.C. Quinn']",['Barbet Schroeder'],7993039,7966,8001005,0
Surveillance,55,43,51,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 37m,2008,"['Julia Ormond', 'Bill Pullman', 'Pell James', 'Ryan Simpkins', 'Cheri Oteri']",['Jennifer Lynch'],56732,0,56732,0
Coming Through the Rye,70,65,68,['Drama'],PG-13,1h 37m,2015,"['Adrian Pasdar', 'Chris Cooper', 'Alex Wolff', 'Stefania Owen', 'Amy Parrish']",['James Steven Sadwith'],2540965,166872,2707837,0
