name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors,domestic_revenue,international_revenue,worldwide_revenue,budget
Death Wish,18,70,35,"['Action', 'Mystery & Thriller']",R,1h 47m,2018,"['Bruce Willis', ""Vincent D'Onofrio"", 'Elisabeth Shue', 'Camila Morrone', 'Dean Norris']",['Eli Roth'],0,0,0,0
On Her Shoulders,96,81,91,['Documentary'],,1h 34m,2018,"['Nadia Murad', 'Amal Clooney', 'Alexandria Bombach', 'Brock Williams', 'Hayley Pappas']",['Alexandria Bombach'],616333,0,616333,0
Recovery Boys,100,82,93,['Documentary'],,1h 29m,2018,"['Jeff', 'Rush', 'Ryan Baldi', 'Nathan', 'Dave']",['Elaine Mcmillion Sheldon'],132555,0,132555,0
Summer '03,63,48,58,['Comedy'],,1h 35m,2018,"['Joey King', 'Andrea Savage', 'June Squibb', 'Erin Darke', 'Paul Scheer']",['Becca Gleason'],2689252,0,2689252,0
Alex Strangelove,81,69,77,"['Comedy', 'LGBTQ+']",,1h 39m,2018,"['Daniel Doheny', 'Madeline Weinstein', 'Antonio Marziale', 'Joanna P. Adler', 'William Ragsdale']",['Craig Johnson 2'],676631,0,676631,0
Fail State,83,69,78,['Documentary'],,1h 34m,2018,"['Alexander Shebanow', 'Nicholas Adams', 'Alexander Shebanow', 'Regina Sobel', 'Adam Bolt']",['Alexander Shebanow'],4055660,3295401,7351061,0
An Evening With Beverly Luff Linn,53,48,51,['Comedy'],R,1h 48m,2018,"['Aubrey Plaza', 'Emile Hirsch', 'Jemaine Clement', 'Matt Berry', 'Craig Robinson']",['Jim Hosking'],315497,0,315497,0
12 Strong,50,62,53,"['War', 'Drama']",R,2h 10m,2018,"['Chris Hemsworth', 'Michael Shannon', 'Michael Peña', 'Navid Negahban', 'Trevante Rhodes']",['Nicolai Fuglsig'],35014192,6083661,41097853,8000000
A Wizard's Tale,17,63,32,"['Kids & Family', 'Comedy', 'Fantasy', 'Adventure', 'Animation']",,1h 37m,2018,"['Ian McShane', 'Toby Kebbell', 'Lily Collins', 'Keith Wickham', 'Jay Britton']",['Andres Couturier'],64167069,72149811,136316880,0
In Darkness,47,57,50,['Mystery & Thriller'],,1h 50m,2018,"['Natalie Dormer', 'Ed Skrein', 'Emily Ratajkowski', 'Jan Bijvoet', 'Neil Maskell']",['1188057 Anthony Byrne'],57520,2015543,2073063,0
Beirut,82,57,73,"['Mystery & Thriller', 'Drama']",R,1h 49m,2018,"['Jon Hamm', 'Rosamund Pike', 'Dean Norris', 'Mark Pellegrino', 'Larry Pine']",['Brad Anderson'],829,0,829,0
Blood Fest,50,42,47,"['Comedy', 'Horror']",,1h 30m,2018,"['Robbie Kay', 'Jacob Batalon', 'Tate Donovan', 'Seychelle Gabriel', 'Barbara Dunkelman']",['Owen Egerton'],35014192,6083661,41097853,8000000
Unlovable,82,70,78,"['Comedy', 'Drama']",,1h 20m,2018,"['Charlene deGuzman', 'John Hawkes', 'Melissa Leo', 'Paul James', 'Ellen Geer']",['Suzi Yoonessi'],829,0,829,0
Devil's Path,56,29,46,"['Mystery & Thriller', 'LGBTQ+']",,1h 27m,2018,"['Stephen Twardokus', 'JD Scalzo', 'Jon Gale', 'Steve Callahan', 'Spencer Kelly']",['Matthew Montgomery 6'],100345,1843942,1944287,0
