,name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
26,Dionne Warwick: Don't Make Me Over,91,100,94,"['Documentary', 'Music']",,1h 29m,2021,"['Dionne Warwick', 'Burt Bacharach', 'Clive Davis', 'Elton John', 'Gladys Knight']","['David Heilbroner', 'Dave Wooley']"
27,The Price We Pay,56,36,49,"['Action', 'Mystery & Thriller']",R,1h 26m,2022,"['Stephen Dorff', 'Emile Hirsch', 'Gigi Zumbado', 'Tyler Sanders', 'Erika Ervin']",['Ryuhei Kitamura 2']
28,Stalker,80,31,63,"['Mystery & Thriller', 'Horror']",,1h 38m,2022,"['Sophie Skelton', 'Stuart Brennan', 'Bret ""The Hitman"" Hart', 'Steve Johnson', 'Chris Watt']",['Steve Johnson 4']
29,Take Me to the River: New Orleans,90,89,89,"['Documentary', 'Music']",,1h 50m,2022,"['Neville Brothers', 'Irma Thomas', 'Ledisi', 'Snoop Dogg', 'G-Eazy']",['Martin Shore']
30,The Unheard,41,33,38,"['Drama', 'Horror', 'Mystery & Thriller']",,2h 4m,2023,"['Lachlan Watson', 'Michele Hicks', 'Shunori Ramanathan', 'Brendan Meyer', 'Nick Sandow']",['Jeffrey A Brown']
31,The Integrity of Joseph Chambers,90,43,74,"['Drama', 'Mystery & Thriller']",,1h 36m,2022,"['Clayne Crawford', 'Jordana Brewster', 'Michael Raymond-James', 'Jeffrey Dean Morgan', 'Colt Crawford']",['Robert Machoian']
32,Life Upside Down,5,62,23,"['Drama', 'Romance']",,1h 32m,2023,"['Bob Odenkirk', 'Danny Huston', 'Radha Mitchell', 'Rosie Fellner', 'Cyrus Pahlavi']",['Cecilia Miniucchi']
33,Magic Mike's Last Dance,47,73,55,"['Comedy', 'Drama', 'Romance']",R,1h 52m,2023,"['Channing Tatum', 'Salma Hayek', 'Caitlin Gerard', 'Gavin Spokes', 'Ayub Khan-Din']",['Steven Soderbergh']
34,Daughter,94,64,84,"['Mystery & Thriller', 'Horror']",,1h 35m,2022,"['Casper Van Dien', 'Elyse Dinh', 'Vivien Ngô', 'Ian Alexander', 'Megan Le']",['Corey Deshon']
35,Empire of Light,45,74,54,"['Romance', 'Drama']",R,1h 59m,2022,"['Olivia Colman', 'Micheal Ward', 'Colin Firth', 'Toby Jones', 'Crystal Clarke']",['Sam Mendes']
36,Confession,30,43,34,['Mystery & Thriller'],,1h 40m,2021,"['Stephen Moyer', 'Colm Meaney', 'Clare-Hope Ashitey', 'Kris Johnson', 'Sadie Jean Shirley']",['David Beton']
37,Who Invited Charlie?,71,96,79,['Comedy'],,1h 41m,2022,"['Jordana Brewster', 'Adam Pally', 'Reid Scott', 'Rhys Coiro', 'Peter Grosz']",['Xavier Manrique 2']
