,name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
61,They Wait in the Dark,100,48,82,"['Mystery & Thriller', 'Horror', 'Drama']",,1h 25m,2022,"['Sarah McGuire', 'Laurie Catherine Winkel', 'Paige Maria', 'Patrick McGee', 'Meagan Flynn']",['Patrick Rea']
62,Heart of Stone,30,52,37,"['Action', 'Mystery & Thriller', 'Crime']",PG-13,2h 2m,2023,"['Gal Gadot', 'Jamie Dornan', 'Alia Bhatt', 'Sophie Okonedo', 'Matthias Schweighöfer']",['1176833 Tom Harper']
63,Rowdy Rathore,54,55,54,"['Action', 'Comedy']",,2h 23m,2012,"['Akshay Kumar', 'Sonakshi Sinha', 'Paresh Ganatra', 'Nassar', 'Supreeth Reddy']",['Prabhu Deva']
64,Maybe I Do,35,61,43,"['Comedy', 'Romance']",PG-13,1h 35m,2023,"['Emma Roberts', 'Susan Sarandon', 'Richard Gere', 'Luke Bracey', 'Diane Keaton']",['Michael D Jacobs']
65,Babylon,57,52,55,"['Comedy', 'Drama']",R,3h 9m,2022,"['Brad Pitt', 'Margot Robbie', 'Diego Calva', 'Jean Smart', 'Jovan Adepo']",['Damien Chazelle']
66,Red Tails,40,57,45,"['History', 'Drama', 'War']",PG-13,2h 5m,2012,"['Cuba Gooding Jr.', 'Terrence Howard', 'Nate Parker', 'David Oyelowo', 'Ne-Yo']",['Anthony Hemingway']
67,On Sacred Ground,29,80,46,['Drama'],,2h 5m,2023,"['David Arquette', 'William Mapother', 'Amy Smart', 'Kerry Knuppe', 'Frances Fisher']","['Joshua Tickell', 'Rebecca Harrell Tickell']"
0,God's Time,62,84,69,"['Mystery & Thriller', 'Comedy', 'Drama']",,1h 23m,2022,"['Christiane Seidel', 'Jared Abrahamson', 'Ben Groh', 'Dion Costelloe', 'Liz Caribel Sierra']",['Daniel Antebi']
1,Unexpected,65,44,57,"['Comedy', 'Drama']",R,1h 25m,2015,"['Cobie Smulders', 'Anders Holm', 'Gail Bean', 'Elizabeth McGovern', 'Aaron J. Nelson']",['Kris Swanberg 2']
2,Paint,32,57,40,['Comedy'],PG-13,1h 36m,2023,"['Owen Wilson', 'Michaela Watkins', 'Wendi McLendon-Covey', 'Ciara Renée', 'Lusia Strus']",['Brit Mcadams']
3,Pinball: The Man Who Saved the Game,95,91,93,"['Comedy', 'Drama']",,1h 31m,2022,"['Mike Faist', 'Crystal Reed', 'Dennis Boutsikaris', 'Christopher Convery', 'Damian Young']","['Austin Bragg', 'Meredith Bragg']"
4,Missing,88,90,88,['Mystery & Thriller'],PG-13,1h 51m,2023,"['Storm Reid', 'Joaquim de Almeida', 'Ken Leung', 'Amy Landecker', 'Daniel Henney']","['Will Merrick', 'Nick Johnson']"
5,The Tribe,71,41,60,['Comedy'],,1h 30m,2018,"['Paco León', 'Carmen Machi', 'Maribel del Pino', 'María José Sarrate', 'Arlette Torres']",['Fernando Colomo']
6,Tomorrow's Hope,100,75,91,['Documentary'],,45m,2021,"['Jackie Robinson', 'Brenda Eiland-Williford', 'Thomas A. Morgan', 'Tamra Raven', 'Trevor Hall']",['Thomas A Morgan 2']
7,All the World Is Sleeping,100,92,97,['Drama'],,1h 50m,2021,"['Melissa Barrera', 'Jackie Cruz', 'Jorge Garcia', 'Kristen Gutoskie', 'Valentina Herrera']",['Ryan Lacen']
8,Confession,30,43,34,['Mystery & Thriller'],,1h 40m,2021,"['Stephen Moyer', 'Colm Meaney', 'Clare-Hope Ashitey', 'Kris Johnson', 'Sadie Jean Shirley']",['David Beton']
9,Unwelcome,65,43,57,"['Horror', 'Mystery & Thriller']",R,1h 44m,2022,"['Hannah John-Kamen', 'Douglas Booth', 'Colm Meaney', ""Jamie-Lee O'Donnell"", 'Kristian Nairn']",['Jon Wright']
10,Of an Age,86,88,86,"['Romance', 'Drama', 'LGBTQ+']",R,1h 39m,2022,"['Elias Anton', 'Thom Green', 'Hattie Hook', 'Jack Kenny', 'Toby Derrick']",['Goran Stolevski']
11,Little Dixie,56,51,54,['Drama'],,1h 20m,2023,"['Frank Grillo', 'Eric Dane', 'Peter Greene', 'Beau Knapp', 'Sufe Bradshaw']",['John Swab']
12,Supercell,50,80,59,"['Adventure', 'Mystery & Thriller']",PG-13,1h 40m,2022,"['Alec Baldwin', 'Anne Heche', 'Skeet Ulrich', 'Daniel Diemer', 'Jordan Kristine Seamón']",['Herbert James Winterstern']
13,Boston Strangler,68,70,68,"['Crime', 'Drama']",R,1h 52m,2023,"['Keira Knightley', 'Carrie Coon', 'Alessandro Nivola', 'Chris Cooper', 'David Dastmalchian']",['Matt Ruskin']
14,Juniper,92,79,87,['Drama'],,1h 34m,2021,"['Charlotte Rampling', 'Marton Csokas', 'George Ferrier', 'Edith Poor', 'Cameron Carter-Chan']",['Matthew J Saville']
15,Batman: The Doom That Came to Gotham,77,50,68,"['Action', 'Adventure', 'Fantasy', 'Animation']",PG-13,1h 26m,2023,"['David Giuntoli', 'Tati Gabrielle', 'Gideon Adlon', 'Christopher Gorham', 'Jason Marsden']",['Sam Liu']
16,Your Place or Mine,30,36,32,"['Romance', 'Comedy']",PG-13,1h 49m,2023,"['Reese Witherspoon', 'Ashton Kutcher', 'Steve Zahn', 'Wesley Kimmel', 'Rachel Bloom']",['Aline Brosh Mckenna']
17,Door Mouse,75,95,81,"['Drama', 'Mystery & Thriller']",,1h 37m,2022,"['Hayley Law', 'Keith Powers', 'Donal Logue', 'Famke Janssen', 'Avan Jogia']",['Avan Jogia']
18,The Ritual Killer,10,19,13,"['Mystery & Thriller', 'Drama']",,1h 32m,2023,"['Morgan Freeman', 'Cole Hauser', 'Vernon Davis', 'Peter Stormare', 'Julie Lott']",['George Gallo']
19,The Return of Tanya Tucker: Featuring Brandi Carlile,92,96,93,"['Documentary', 'Music']",R,1h 48m,2022,"['Tanya Tucker', 'Brandi Carlile', 'Kathlyn Horan', 'Kathlyn Horan', 'Julie Goldman']",['Kathlyn Horan']
20,Bruiser,100,73,90,['Drama'],,1h 37m,2022,"['Trevante Rhodes', 'Shamier Anderson', 'Shinelle Azoroh', 'Jalyn Hall', 'Jonah Bishop-Pirrone']",['Miles Warren 2']
21,Knock at the Cabin,67,63,65,"['Mystery & Thriller', 'Drama']",R,1h 40m,2023,"['Dave Bautista', 'Jonathan Groff', 'Ben Aldridge', 'Nikki Amuka-Bird', 'Kristen Cui']",['M Night Shyamalan']
22,80 for Brady,57,89,67,['Comedy'],PG-13,1h 38m,2023,"['Lily Tomlin', 'Jane Fonda', 'Rita Moreno', 'Sally Field', 'Tom Brady']",['Kyle Marvin']
23,Condor's Nest,40,57,45,"['Action', 'War']",R,1h 43m,2023,"['Jacob Keohane', 'Al Pagano', 'Corinne Britti', 'James Urbaniak', 'Jackson Rathbone']",['Phil Blattenberger']
24,Alone at Night,20,43,27,"['Horror', 'Mystery & Thriller']",,1h 30m,2022,"['Ashley Benson', 'Pamela Anderson', 'Luis Guzmán', 'Winnie Harlow', 'G-Eazy']",['G']
25,Puss in Boots: The Last Wish,95,94,94,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",PG,1h 42m,2022,"['Antonio Banderas', 'Salma Hayek', 'Olivia Colman', 'Harvey Guillen', 'Samson Kayo']",['Joel Crawford']
26,Praise This,50,84,61,"['Musical', 'Comedy', 'Drama']",,1h 50m,2023,"['Chloe Bailey', 'Druski', 'Anjelika Washington', 'Tina Gordon', 'Brandon Broussard']",['Tina Gordon']
27,Cocaine Bear,66,71,67,"['Horror', 'Comedy']",R,1h 35m,2023,"['Keri Russell', ""O'Shea Jackson Jr."", 'Christian Convery', 'Alden Ehrenreich', 'Jesse Tyler Ferguson']",['Elizabeth Banks']
28,Legion of Super-Heroes,60,61,60,"['Action', 'Adventure', 'Animation']",PG-13,1h 23m,2023,"['Meg Donnelly', 'Harry Shum Jr.', 'Darren Criss', 'Matt Bomer', 'Jensen Ackles']",['Jeff Wamester']
29,Ghosted,26,56,36,"['Action', 'Romance', 'Adventure']",PG-13,1h 56m,2023,"['Chris Evans', 'Ana de Armas', 'Adrien Brody', 'Mike Moh', 'Amy Sedaris']",['Dexter Fletcher']
30,Devotion,81,92,84,"['War', 'History', 'Drama', 'Action']",PG-13,2h 19m,2022,"['Glen Powell', 'Jonathan Majors', 'Joe Jonas', 'Christina Jackson', 'Nick Hargrove']",['Justin Dillard']
31,Little Richard: I Am Everything,95,98,96,"['Documentary', 'Music', 'Biography']",,1h 38m,2023,"['Tom Jones', 'Mick Jagger', 'Paul McCartney', 'Little Richard', 'Lisa Cortes']",['Lisa Cortes']
32,Cherry,92,89,91,"['Comedy', 'Drama']",,1h 16m,2022,"['Alex Trewhitt', 'Hannah Alline', 'Angela Nicholas', 'Joe Sachem', 'Dan Schultz']",['Sophie Galibert']
33,Out of Exile,25,57,35,"['Action', 'Mystery & Thriller']",R,1h 47m,2022,"['Adam Hampton', 'Ryan Merriman', 'Kyle Jacob Henry', 'Karrie Cox', 'Jake ""The Snake"" Roberts']",['Kyle Kauwika Harris']
34,Capsules,80,77,79,"['Horror', 'Sci-Fi']",,1h 10m,2022,"['Caroline Potter Shriver', 'Marcus Fahey', 'Davis Browne', 'Kate Pittard', 'Ben Strate']",['Luke Momo']
35,Calendar Girls,100,50,83,['Documentary'],,1h 24m,2022,"['Maria Loohufvud', 'Love Martinsen', 'Love Martinsen', 'Maria Loohufvud', 'Maria Loohufvud']","['Maria Loohufvud', 'Love Martinsen']"
36,On a Wing and a Prayer,16,59,30,"['Drama', 'Mystery & Thriller']",PG,1h 42m,2023,"['Dennis Quaid', 'Heather Graham', 'Jesse Metcalfe', 'Sean McNamara', 'Brian Egeston']",['Sean Mcnamara']
37,Baaghi: A Rebel for Love,30,47,35,"['Action', 'Romance']",,2h 36m,1990,"['Salman Khan', 'Mohnish Bahl', 'Arun Bakshi', 'Beena', 'Dinesh Hingoo']",['Deepak Shivdasani']
38,Judy Blume Forever,95,80,90,"['Documentary', 'Biography']",,1h 37m,2023,"['Judy Blume', 'Molly Ringwald', 'Lena Dunham', 'Anna Konkle', 'Samantha Bee']","['Davina Pardo', 'Leah Wolchok']"
39,The Harbinger,56,78,63,"['Horror', 'Mystery & Thriller']",PG-13,1h 55m,2022,"['Irene Bedard', 'Madeleine McGraw', 'Steve Monroe', 'Will Klipstine', 'Charles Hubbell']",['Will Klipstine']
40,The Gray Man,45,90,60,"['Action', 'Mystery & Thriller']",PG-13,2h 9m,2022,"['Ryan Gosling', 'Chris Evans', 'Ana de Armas', 'Regé-Jean Page', 'Billy Bob Thornton']","['Anthony Russo', 'Joseph Russo']"
41,Clean Slate,100,100,99,['Documentary'],,1h 36m,2021,"['Jared Callahan', 'Jared Callahan', 'Jonathan Pickett', 'Alex Lehmann', 'Jennifer Pelling']",['Jared Callahan']
42,Medieval,38,72,49,"['History', 'Drama', 'Adventure', 'War']",R,2h 6m,2022,"['Ben Foster', 'Matthew Goode', 'Sophie Lowe', 'Til Schweiger', 'Michael Caine']",['Petr Jakl']
43,Mother's Day,43,35,40,"['Drama', 'Mystery & Thriller', 'Action']",,1h 34m,2023,"['Agnieszka Grochowska', 'Dariusz Chojnacki', 'Adrian Delikta', 'Jowita Miondlikowska', 'Ewa Rodart']",['Mateusz Rakowicz']
44,Gatlopp,80,69,76,['Comedy'],,1h 20m,2022,"['Jim Mahoney', 'Emmy Raver-Lampman', 'Jon Bass', 'Sarunas J. Jackson', 'Shelley Hennig']",['Alberto Belli']
45,Eye for an Eye,89,63,80,['Mystery & Thriller'],,1h 47m,2019,"['Luis Tosar', 'María Vázquez', 'Tania Lamata', 'Ismael Martínez', 'Pablo Guisa Koestinger']",['Paco Plaza']
46,Big Gold Brick,21,66,36,"['Comedy', 'Drama', 'Fantasy']",,2h 12m,2022,"['Andy Garcia', 'Emory Cohen', 'Megan Fox', 'Lucy Hale', 'Oscar Isaac']",['Brian Petsos']
47,All My Friends Hate Me,89,62,80,"['Comedy', 'Horror', 'Mystery & Thriller']",R,1h 33m,2021,"['Tom Stourton', 'Charly Clive', 'Georgina Campbell', 'Joshua McGuire', 'Christopher Fairbank']",['Andrew Gaynord']
48,About Fate,63,67,64,"['Holiday', 'Romance', 'Comedy']",R,1h 40m,2022,"['Emma Roberts', 'Thomas Mann', 'Britt Robertson', 'Madelaine Petsch', 'Wendie Malick']",['Marius Vaysberg']
49,Vendetta,17,37,23,"['Action', 'Mystery & Thriller']",,1h 46m,2013,"['Danny Dyer', 'Roxanne McKee', 'Vincent Regan', 'Bruce Payne', 'Ricci Harnett']",['Stephen Reynolds 3']
50,Three Months,79,85,81,"['Comedy', 'Drama']",,1h 44m,2022,"['Troye Sivan', 'Viveik Kalra', 'Brianne Tju', 'Javier Muñoz', 'Amy Landecker']",['Jared Frieder']
51,My Policeman,45,96,62,"['Romance', 'Drama', 'LGBTQ+']",R,1h 53m,2022,"['Harry Styles', 'Rupert Everett', 'Linus Roache', 'Emma Corrin', 'Gina McKee']",['Michael Grandage']
52,Jane,73,72,72,"['Mystery & Thriller', 'Drama']",R,1h 24m,2022,"['Madelaine Petsch', 'Melissa Leo', 'Chloe Bailey', 'Chloe Yu', 'Jordyn Aurora Aquino']",['Sabrina Jaglom']
53,The Ravine,0,27,9,['Mystery & Thriller'],R,2h 1m,2021,"['Eric Dane', 'Teri Polo', 'Peter Facinelli', 'Byron Mann', 'Leslie Uggams']",['Keoni Waxman']
54,Escape from Kabul,100,91,96,['Documentary'],,Documentary,2022,"['Jamie Roberts', 'Jamie Roberts', 'Dan Reed', 'Nancy Abraham', 'Lisa Heller']",['Jamie Roberts 3']
55,Bitch Ass,65,71,67,"['Horror', 'Mystery & Thriller']",,1h 23m,2022,"['Teon Kelly', 'Tunde Laleye', ""Me'lisa Sellers"", 'Tony Todd', 'Kelsey Caesar']",['Bill Posley']
56,Men,69,40,59,"['Horror', 'Drama', 'Sci-Fi']",R,1h 40m,2022,"['Jessie Buckley', 'Rory Kinnear', 'Paapa Essiedu', 'Gayle Rankin', 'Alex Garland']",['Alex Garland']
57,Running with the Devil: The Wild World of John McAfee,67,36,56,"['Biography', 'Documentary']",,1h 45m,2022,"['John McAfee', 'Charlie Russell', 'Andrew Slater', 'Dov Freedman', 'Joby Gee']",['Charlie Russell 4']
58,After Ever Happy,0,92,30,"['Romance', 'Drama']",R,1h 35m,2022,"['Hero Fiennes Tiffin', 'Josephine Langford', 'Chance Perdomo', 'Stephen Moyer', 'Mira Sorvino']",['Castille Landon']
59,Outsiders,36,65,45,"['Sci-Fi', 'Mystery & Thriller']",R,1h 22m,2021,"['Skylan Brooks', 'Shane West', 'Hart Denton', 'Taryn Manning', 'Clark Backo']",['Delmar Washington']
60,Looking for an Echo,67,71,68,['Drama'],R,1h 37m,1999,"['Armand Assante', 'Diane Venora', 'Joe Grifasi', 'Tom Mason', 'Anthony John Denison']",['Martin Davidson']
61,As They Made Us,81,84,82,"['Comedy', 'Drama', 'Romance']",R,1h 36m,2022,"['Dianna Agron', 'Simon Helberg', 'Candice Bergen', 'Dustin Hoffman', 'Justin Chu Cary']",['Mayim Bialik']
62,Honk for Jesus. Save Your Soul.,72,26,56,"['Comedy', 'Drama']",R,1h 42m,2022,"['Regina Hall', 'Sterling K. Brown', 'Austin Crute', 'Conphidance', 'Devere Rogers']",['Adamma Ebo']
0,The Waiting,33,46,37,"['Mystery & Thriller', 'Drama']",,1h 37m,2016,"['James Caan', 'Logan Miller', 'Keir Gilchrist', 'Laura Innes', 'Edwin Hodge']",['Kasra Farahani']
1,Scarface,79,93,83,"['Crime', 'Drama']",R,2h 50m,1983,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio', 'Robert Loggia']",['771481922']
2,Bullet Train,54,76,61,"['Action', 'Comedy']",R,2h 6m,2022,"['Brad Pitt', 'Joey King', 'Aaron Taylor-Johnson', 'Brian Tyree Henry', 'Andrew Koji']",['David Leitch']
3,They Live in the Grey,58,68,61,"['Horror', 'Mystery & Thriller']",,2h 4m,2022,"['Michelle Krusiec', 'Madelyn Grace', 'Ken Kirby', 'Ellen Wroe', 'Abel Vang']","['Abel Vang', 'Burlee Vang']"
4,President,91,75,85,['Documentary'],,2h 0m,2021,"['Nelson Chamisa', 'Nkululeko Sibanda', 'Thabani Mpofu', 'Camilla Nielsson', 'Joslyn Barnes']",['Camilla Nielsson']
5,Girl at the Window,33,0,22,"['Mystery & Thriller', 'Horror']",,2h 0m,2022,"['Radha Mitchell', 'Ella Newton', 'Sharon Johal', 'James Mackay', 'Karis Oka']",['Mark Hartley']
6,Madeline's Madeline,88,43,73,['Drama'],,1h 34m,2018,"['Helena Howard', 'Molly Parker', 'Miranda July', 'Okwui Okpokwasili', 'Felipe Bonilla']",['Josephine Decker']
7,White Noise,64,32,53,"['Comedy', 'Drama', 'Horror']",R,2h 16m,2022,"['Adam Driver', 'Greta Gerwig', 'Don Cheadle', 'Raffey Cassidy', 'Sam Nivola']",['Noah Baumbach']
8,What We Do Next,90,92,90,['Drama'],,1h 17m,2022,"['Corey Stoll', 'Karen Pittman', 'Michelle Veintimilla', 'Shannon Cogan', 'Cynthia Rodríguez']",['Stephen Belber']
9,Worst to First: The True Story of Z100 New York,83,100,88,"['Documentary', 'History', 'Music']",,1h 4m,2022,"['Scott Shannon', 'Elvis Duran', 'Jon Bon Jovi', 'Nile Rodgers', 'Clive Davis']",['Mitchell Stuart']
10,The Pride of the Yankees,94,89,92,['Biography'],,2h 7m,1942,"['Gary Cooper', 'Teresa Wright', 'Babe Ruth', 'Walter Brennan', 'Dan Duryea']",['Sam Wood']
11,Indemnity,84,56,74,"['Action', 'Mystery & Thriller']",,2h 4m,2021,"['Jarrid Geduld', 'Andre Jacobs', 'Nicole Fortuin', 'Gail Mabalane', 'Louw Venter']",['Travis Taute']
12,Flux Gourmet,85,56,75,['Horror'],,1h 51m,2022,"['Asa Butterfield', 'Gwendoline Christie', 'Ariane Labed', 'Richard Bremmer', 'Fatma Mohamed']",['Peter Strickland']
13,Blowback,20,42,27,"['Action', 'Mystery & Thriller']",R,1h 33m,2022,"['Randy Couture', 'Cam Gigandet', 'Louis Mandylor', 'Michele Plaia', 'Rafael Cabrera']",['Tibor Takacs']
14,I Love My Dad,74,83,77,"['Comedy', 'Drama', 'Romance']",R,1h 36m,2022,"['Patton Oswalt', 'James Morosini', 'Claudia Sulewski', 'Lil Rel Howery', 'Amy Landecker']",['James Morosini']
15,All Dogs Go to Heaven,44,63,50,"['Kids & Family', 'Fantasy', 'Animation']",G,1h 26m,1989,"['Dom DeLuise', 'Burt Reynolds', 'Daryl Gilley', 'Candy Devine', 'Charles Nelson Reilly']",['Don Bluth']
16,¡Viva Maestro!,100,58,85,"['Documentary', 'Music', 'Biography']",,1h 39m,2022,"['Gustavo Dudamel', 'Arturo Márquez', 'Alejandro Carreño', 'Elly Saúll Guerrero', 'Nathaly Al Gindi']",['Ted Braun 4']
17,God Forbid: The Sex Scandal that Brought Down a Dynasty,83,59,75,['Documentary'],TVMA,1h 49m,2022,"['Billy Corben', 'Adam McKay', 'Todd Schulman', 'Alfred Spellman', 'Billy Corben']",['1173408 Billy Corben']
18,Next Exit,80,58,72,['Sci-Fi'],,1h 46m,2022,"['Gavin Powers', 'Joe Powers', 'Katie Parker', 'Rahul Kohli', 'Rose McIver']",['Mali Elfman']
19,Stay the Night,87,70,81,"['Romance', 'Drama']",,1h 34m,2022,"['Andrea Bang', 'Joe Scarpellino', 'Humberly González', 'Raymond Ablack', 'Graham Abbey']",['Renuka Jeyapalan']
20,The Talk of the Town,88,84,86,['Comedy'],,1h 58m,1942,"['Cary Grant', 'Jean Arthur', 'Ronald Colman', 'Edgar Buchanan', 'Glenda Farrell']",['George Stevens']
21,The Free Fall,56,54,55,"['Horror', 'Drama', 'Mystery & Thriller']",,1h 22m,2021,"['Andrea Londo', 'Shawn Ashmore', 'Jane Badler', 'Michael Berry Jr.', 'Elizabeth Cappuccino']",['Adam Stilwell']
22,Top Gun: Maverick,96,99,97,"['Action', 'Adventure']",PG-13,2h 11m,2022,"['Tom Cruise', 'Miles Teller', 'Jennifer Connelly', 'Jon Hamm', 'Glen Powell']",['Joseph Kosinski']
23,Bandit,71,78,73,"['Crime', 'Drama', 'Mystery & Thriller']",R,2h 6m,2022,"['Josh Duhamel', 'Mel Gibson', 'Elisha Cuthbert', ""Olivia d'Abo"", 'Nestor Carbonell']",['Allan Ungar']
24,Catch the Fair One,93,56,80,"['Mystery & Thriller', 'Drama']",,1h 26m,2021,"['Kali Reis', 'Daniel Henshall', 'Tiffany Chu', 'Michael Drayer', 'Kimberly Guerrero']",['Josef Kubota Wladyka 2']
25,Emergency,92,72,85,"['Comedy', 'Drama']",R,1h 45m,2022,"['RJ Cyler', 'Donald Elise Watkins', 'Sebastian Chacon', 'Sabrina Carpenter', 'Maddie Nichols']",['Carey Williams']
26,The Pez Outlaw,100,86,95,['Documentary'],,1h 25m,2022,"['Steve Glew', 'Amy Bandlien Storkel', 'Bryan Storkel', 'Amy Bandlien Storkel', 'Bryan Storkel']","['Amy Bandlien Storkel', 'Bryan Storkel']"
27,Sneakerella,92,49,77,"['Kids & Family', 'Comedy']",,1h 52m,2022,"['Chosen Jacobs', 'Lexi Underwood', 'Kolton Stewart', 'John Salley', 'Lovina Yavari']",['Elizabeth Allen Rosenbaum']
28,Monster Family 2: Nobody's Perfect,20,55,31,"['Animation', 'Comedy', 'Kids & Family']",,Animation/Comedy,2021,"['Emily Watson', 'Jason Isaacs', 'Nick Frost', 'Jessica Brown Findlay', 'Catherine Tate']",['Holger Tappe 2']
29,I'm Charlie Walker,43,70,52,['Drama'],,1h 30m,2022,"['Mike Colter', 'Dylan Baker', 'Safiya Fredericks', 'Mark Leslie Ford', 'Steven Wiig']",['Patrick Gilles']
30,Untrapped: The Story of Lil Baby,80,88,82,"['Documentary', 'Biography', 'Music']",R,1h 30m,2022,"['Lil Baby', 'Karam Gill', 'Lil Baby', 'Pierre Thomas', 'Kevin ""Coach K"" Lee']",['Karam Gill 2']
31,Spiderhead,39,30,36,"['Sci-Fi', 'Action', 'Crime', 'Drama']",R,1h 47m,2022,"['Chris Hemsworth', 'Miles Teller', 'Jurnee Smollett', 'Mark Paguio', 'Tess Haubrich']",['Joseph Kosinski']
32,The Storied Life of A.J. Fikry,35,88,52,"['Comedy', 'Drama']",PG-13,1h 45m,2022,"['Kunal Nayyar', 'Lucy Hale', 'Christina Hendricks', 'Blaire Brown', 'Lauren Stamile']",['Hans Canosa']
33,The Woman King,94,99,95,"['Action', 'Adventure', 'History', 'Drama', 'War']",PG-13,2h 15m,2022,"['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch', 'Sheila Atim', 'Hero Fiennes Tiffin']",['Gina Princebythewood']
34,Resurrection,82,46,70,"['Mystery & Thriller', 'Drama']",R,1h 44m,2022,"['Rebecca Hall', 'Tim Roth', 'Grace Kaufman', 'Michael Esper', 'Angela Wong Carbone']",['Andrew Semans']
35,A Wounded Fawn,96,54,82,"['Horror', 'Mystery & Thriller']",,1h 31m,2022,"['Sarah Lind', 'Josh Ruben', 'Malin Barr', 'Katie Kuang', 'Laksmi Hedemark']",['Travis Stevens']
36,Dreaming Walls: Inside the Chelsea Hotel,70,45,61,['Documentary'],,1h 20m,2022,"['Amélie van Elmbt', 'Maya Duverdier', 'Amélie van Elmbt', 'Maya Duverdier', 'Hanne Phlypo']","['Amelie Van Elmbt', 'Maya Duverdier']"
37,Selena Gomez: My Mind and Me,97,94,95,"['Documentary', 'Biography']",R,1h 35m,2022,"['Selena Gomez', 'Alek Keshishian', 'Alek Keshishian', 'Paul Marchand', 'Michelle An']",['Alek Keshishian']
38,Orphan: First Kill,70,77,72,"['Horror', 'Mystery & Thriller']",R,1h 39m,2022,"['Isabelle Fuhrman', 'Julia Stiles', 'Rossif Sutherland', 'Matthew Finlan', 'Hiro Kanagawa']",['William Brent Bell']
39,Glorious,87,56,76,"['Horror', 'Mystery & Thriller']",,1h 20m,2022,"['Ryan Kwanten', 'J.K. Simmons', 'Sylvia Grace Crim', 'Andre Lamar', 'Tordy Clark']",['Rebekah Mckendry 2']
40,Wendell & Wild,80,65,75,"['Comedy', 'Animation', 'Adventure', 'Fantasy']",PG-13,1h 45m,2022,"['Keegan-Michael Key', 'Jordan Peele', 'Lyric Ross', 'Angela Bassett', 'James Hong']",['Henry Selick']
41,Hellbender,97,55,82,['Horror'],,1h 26m,2021,"['Zelda Adams', 'Toby Poser', 'Lulu Adams', 'John Adams', 'Rinzin Thonden']","['John Adams 7', 'Zelda Adams 2', 'Toby Poser']"
42,Lady Chatterley's Lover,86,75,82,"['Romance', 'Drama']",R,2h 6m,2022,"['Emma Corrin', ""Jack O'Connell"", 'Matthew Duckett', 'Joely Richardson', 'Faye Marsay']",['Laure De Clermonttonnerre']
43,Invisible Demons,100,50,83,['Documentary'],,1h 10m,2021,"['Rahul Jain', 'Yael Bitton', 'Rahul Jain', 'Iikka Vehkalahti', 'Heino Deckert']",['Rahul Jain']
44,The Institute,0,13,4,['Mystery & Thriller'],R,1h 30m,2017,"['James Franco', 'Pamela Anderson', 'Topher Grace', 'Eric Roberts', 'Josh Duhamel']","['James Franco', 'Pamela Romanowsky']"
45,Vesper,91,58,80,"['Sci-Fi', 'Mystery & Thriller']",,1h 54m,2022,"['Raffiella Chapman', 'Eddie Marsan', 'Rosy McEwen', 'Richard Brake', 'Melanie Gaydos']","['Kristina Buozyte', 'Bruno Samper']"
46,Darling Lili,40,69,49,['Musical'],G,1h 54m,1970,"['Julie Andrews', 'Rock Hudson', 'Jeremy Kemp', 'Lance Percival', 'Jacques Marin']",['Sam O Brown']
47,Spirited,71,81,74,"['Holiday', 'Musical', 'Comedy', 'Fantasy']",PG-13,2h 7m,2022,"['Will Ferrell', 'Ryan Reynolds', 'Octavia Spencer', 'Patrick Page', 'Sunita Mani']",['Sean Anders']
48,The Naked Gun,86,84,85,"['Comedy', 'Action']",PG-13,1h 25m,1988,"['Leslie Nielsen', 'George Kennedy', 'Priscilla Presley', 'Ricardo Montalban', 'O.J. Simpson']",['David Zucker']
49,Corrective Measures,60,34,51,"['Action', 'Sci-Fi', 'Mystery & Thriller']",,1h 46m,2022,"['Bruce Willis', 'Matthew Kevin Anderson', 'Celia Aloma', 'Daniel Cudmore', 'Malcolm Sparrow-Crawford']",['Sean Patrick Oreilly']
50,The Visitor,19,21,19,"['Horror', 'Mystery & Thriller']",,1h 26m,2022,"['Finn Jones', 'Jessica McNamee', 'Dane Rhodes', 'Donna Biscoe', 'Thomas Francis Murphy']",['Justin P Lange']
51,Bird on a Wire,25,41,30,"['Romance', 'Comedy']",PG-13,1h 50m,1990,"['Mel Gibson', 'Goldie Hawn', 'David Carradine', 'Bill Duke', 'Stephen Tobolowsky']",['John Badham']
52,The Harbinger,56,78,63,"['Horror', 'Mystery & Thriller']",PG-13,1h 55m,2022,"['Irene Bedard', 'Madeleine McGraw', 'Steve Monroe', 'Will Klipstine', 'Charles Hubbell']",['Will Klipstine']
53,Adventures in Success,56,67,59,['Comedy'],,1h 38m,2021,"['Khan Baykal', 'Asia Lee Boostani', 'Drew Freed', 'Alec Jones-Trujillo', 'Lexie Mountain']",['Jay Buim']
54,Torn,100,89,96,"['Documentary', 'Sports & Fitness']",,1h 32m,2021,"['Conrad Anker', 'Max Lowe', 'Jonathan Chinn', 'Simon Chinn', 'Chris Murphy']",['Max Lowe 2']
55,Better Nate Than Ever,83,75,80,"['Kids & Family', 'Musical', 'Comedy']",PG,1h 31m,2022,"['Rueby Wood', 'Aria Brooks', 'Lisa Kudrow', 'Joshua Bassett', 'Michelle Federer']",['Tim Federle']
