73,Well Groomed,95,91,93,['Documentary'],,1h 28m,2019,"['Nicole Beckman', 'Rebecca Stern', 'Dana Kalmey', 'Justin Levy', 'Matthew C. Mills']",['Rebecca Stern']
74,Dark City Beneath the Beat,100,83,94,"['Documentary', 'Music']",,1h 5m,2020,"['TT The Artist', 'Astrid Curet', 'Deniese Davis', 'Issa Rae', 'Kirby Griffin']",['Tt The Artist']
75,Fried Barry,80,60,73,"['Comedy', 'Sci-Fi', 'Horror']",,1h 39m,2020,"['Gary Green', 'Chanelle De Jager', 'Brett Williams', 'Joey Cramer', 'Sean Cameron Michael']",['Ryan Kruger']
76,"Mission: Impossible - Dead Reckoning, Part One",96,94,95,"['Action', 'Adventure', 'Mystery & Thriller']",PG-13,2h 43m,2023,"['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson']",['Christopher Mcquarrie']
77,The Tomorrow War,52,76,60,"['Sci-Fi', 'Action', 'Adventure']",PG-13,2h 18m,2021,"['Chris Pratt', 'Yvonne Strahovski', 'J.K. Simmons', 'Betty Gilpin', 'Sam Richardson']",['Chris Mckay']
78,Ed Gein,10,40,20,['Drama'],,1h 30m,2001,"['Steve Railsback', 'Carrie Snodgress', 'Sally Champlin', 'Carol Mansell', 'Nancy Linehan Charles']",['Chuck Parello']
79,Minari,98,87,94,['Drama'],PG-13,1h 55m,2020,"['Steven Yeun', 'Han Ye-ri', 'Youn Yuh-jung', 'Will Patton', 'Alan Kim']",['Lee Isaac Chung']
80,Perfect Bid: The Contestant Who Knew Too Much,100,55,84,"['Documentary', 'History', 'Drama']",,1h 12m,2017,"['Bob Barker', 'Roger Dobkowitz', 'C.J. Wallis', 'Mallory Kennedy', 'C.J. Wallis']",['Cj Wallis']
81,There's Someone Inside Your House,47,17,37,['Horror'],,1h 36m,2021,"['Sydney Park', 'Théodore Pellerin', 'Asjha Cooper', 'Dale Whibley', 'Jesse LaTourette']",['Patrick Brice']
82,The Good Traitor,44,88,58,"['History', 'Drama']",,1h 50m,2020,"['Ulrich Thomsen', 'Denise Gough', 'Mikkel Boe Følsgaard', 'Zoe Tapper', 'Burn Gorman']",['Christina Rosendahl']
83,Annie Live!,100,29,76,"['Comedy', 'Drama', 'Musical']",,3h 0m,2021,"['Celina Smith', 'Taraji P. Henson', 'Harry Connick Jr.', 'Nicole Scherzinger', 'Tituss Burgess']","['Alex Rudzinski', 'Lear Debessonet']"
84,Welcome to the Dollhouse,93,86,90,"['Comedy', 'Drama']",R,1h 27m,1995,"['Heather Matarazzo', 'Daria Kalinina', 'Matthew Faber', 'Angela Pietropinto', 'Bill Buell']",['Todd Solondz']
85,As Luck Would Have It,38,48,41,"['Comedy', 'Drama']",,1h 38m,2011,"['José Mota', 'Salma Hayek', 'Manuel Tallafé', 'Blanca Portillo', 'Juan Luis Galiardo']",['Alex De La Iglesia']
86,Bliss,27,44,32,"['Sci-Fi', 'Romance', 'Drama']",R,1h 44m,2021,"['Owen Wilson', 'Salma Hayek', 'Nesta Cooper', 'Jorge Lendeborg', 'Ronny Chieng']",['Mike Cahill']
87,South of Heaven,47,54,49,"['Action', 'Drama', 'Crime']",,2h 0m,2021,"['Jason Sudeikis', 'Evangeline Lilly', 'Shea Whigham', 'Mike Colter', 'Michael Paré']",['Aharon Keshales']
88,Bloody Hell,91,80,87,"['Horror', 'Comedy']",R,1h 35m,2020,"[""Ben O'Toole"", 'Caroline Craig', 'Matthew Sunderland', 'Travis Jeffery', 'Jack Finsterer']",['Alister Grierson']
89,Killing Patient Zero,100,100,99,['Documentary'],,1h 40m,2019,"['Laurie Lynd', 'Laurie Lynd', 'Corey Russell', 'Paul Steinberg', 'Trevor Ambrose']",['Laurie Lynd']
90,Rescue Dogs: The Movie,17,84,39,"['Kids & Family', 'Adventure']",PG,1h 27m,2016,"['Paul Haapaniemi', 'Courtney Daniels', 'Fred Tatasciore', 'Peter Oldring', 'Tamara Garfield']","['Mj Anderson', 'Haik Katsikian']"
91,The Girl Who Believes in Miracles,40,93,57,['Drama'],PG,1h 40m,2021,"['Mira Sorvino', 'Austyn Johnson', 'Kevin Sorbo', 'Peter Coyote', 'Burgess Jenkins']",['Richard Correll']
92,Hurt,71,62,68,"['Holiday', 'Horror', 'Mystery & Thriller']",,1h 33m,2018,"['Emily Van Raay', 'Andrew Creer', 'Bradley Hamilton', 'Stephanie Moran', 'Michelle Treacy']",['Sonny Mallhi']
93,No One Gets Out Alive,65,39,56,"['Horror', 'Mystery & Thriller']",,Horror/Mystery & thriller,2021,"['Cristina Rodlo', 'Marc Menchaca', 'David Figlioli', 'Santiago Menghini', 'Jon Croker']",['Santiago Menghini']
94,American Fighter,50,64,54,['Action'],R,1h 38m,2019,"['George Kosturos', 'Tommy Flanagan', 'Bryan Craig', 'Christina Moore', 'Sean Patrick Flanery']",['Shaun Pau Piccinino']
95,Heavy,87,66,80,['Drama'],R,1h 45m,1995,"['Shelley Winters', 'Liv Tyler', 'Pruitt Taylor Vince', 'Deborah Harry', 'Joe Grifasi']",['James Mangold']
96,Those Who Wish Me Dead,62,86,70,"['Action', 'Mystery & Thriller']",R,1h 40m,2021,"['Angelina Jolie', 'Finn Little', 'Jon Bernthal', 'Aidan Gillen', 'Nicholas Hoult']",['Taylor Sheridan']
97,Nebraska,91,83,88,"['Drama', 'Comedy']",R,1h 54m,2013,"['Bruce Dern', 'Will Forte', 'June Squibb', 'Bob Odenkirk', 'Stacy Keach']",['Alexander Payne']
98,Guerrilla: The Taking of Patty Hearst,89,83,87,['Documentary'],,1h 29m,2004,"['Timothy Findley', 'Michael Bortin', 'Catherine Hearst', 'Evelle Younger', 'Marcus Foster']",['Robert Stone 3']
99,Passage to Marseille,60,57,59,['War'],,1h 50m,1944,"['Humphrey Bogart', 'Michèle Morgan', 'Claude Rains', 'Philip Dorn', 'Sydney Greenstreet']",['Michael Curtiz']
100,The Blackout Experiments,45,41,43,['Documentary'],,1h 21m,2016,"['Andrew Gallagher', 'Allison Fogarty', 'Bob Glouberman', 'Abel Horwitz', 'Jessica Sowa']",['Rich Fox']
101,In Time,37,51,41,"['Sci-Fi', 'Action']",PG-13,1h 49m,2011,"['Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy', 'Vincent Kartheiser', 'Olivia Wilde']",['Andrew Niccol']
102,Flinch,60,90,70,"['Crime', 'Drama']",,1h 32m,2021,"['Daniel Zovatto', 'Tilda Cobham-Hervey', 'Cathy Moriarty', 'David Proval', 'Buddy Duress']",['Cameron Van Hoy']
103,Transamerica,77,83,79,"['Comedy', 'Drama', 'LGBTQ+']",R,1h 43m,2005,"['Felicity Huffman', 'Kevin Zegers', 'Fionnula Flanagan', 'Graham Greene', 'Burt Young']",['Duncan Tucker']
104,Gone Too Far,73,58,68,"['Comedy', 'Drama']",,1h 28m,2013,"['Bhasker Patel', 'Adelayo Adedayo', 'Malachi Kirby', 'Shanika Warren-Markland', 'Pooja Shah']",['Destiny Ekaragha']
105,Blind Date,35,34,34,['Drama'],,1h 20m,2008,"['Stanley Tucci', 'Patricia Clarkson', 'Georgina Verbaan', 'Gerdy De Decker', 'Robin Holzhauer']",['Stanley Tucci']
106,Black Christmas,72,76,73,"['Holiday', 'Horror']",R,1h 38m,1974,"['Olivia Hussey', 'Margot Kidder', 'Keir Dullea', 'Andrea Martin', 'John Saxon']",['Bob Clark']
107,Bad Candy,50,26,41,"['Holiday', 'Horror', 'Mystery & Thriller']",,1h 40m,2020,"['Zach Galligan', 'Derek Russo', 'Corey Taylor', 'Haley Leary', 'Michael Aaron Milligan']","['Scott B Hansen 2', 'Desiree Connell 2']"
108,It's a Wonderful Afterlife,29,33,30,"['Romance', 'Comedy']",PG-13,1h 40m,2010,"['Shabana Azmi', 'Goldy Notay', 'Sendhil Ramamurthy', 'Sally Hawkins', 'Sanjeev Bhaskar']",['Gurinder Chadha']
109,Like a House on Fire,100,57,85,['Drama'],,1h 24m,2020,"['Sarah Sutherland', 'Jared Abrahamson', 'Dominique Provost-Chalkley', 'Amanda Brugel', 'Hubert Lenoir']",['Jesse Noah Klein']
110,Dramarama,100,77,92,"['Comedy', 'Drama', 'LGBTQ+']",,1h 31m,2020,"['Nick Pugliese', 'Nico Greetham', 'Zak Henri', 'Anna Grace Barlow', 'Megan Suri']",['Jonathan Wysocki']
111,Implanted,63,95,73,"['Mystery & Thriller', 'Sci-Fi']",,1h 33m,2021,"['Michelle Girolami', 'Ivo Velon', ""Susan O'Doherty"", 'Tony Sallemi', 'Édouard Montoute']",['Fabien Dufils']
