64,Barbarians,55,14,41,['Mystery & Thriller'],,1h 30m,2021,"['Iwan Rheon', 'Tom Cullen', 'Will Kemp', 'Catalina Sandino Moreno', 'Inès Spiridonov']",['Charles Dorfman']
65,Out of the Blue,19,38,25,"['Mystery & Thriller', 'Romance', 'Drama']",R,1h 45m,2022,"['Diane Kruger', 'Ray Nicholson', 'Hank Azaria', 'Chase Sui Wonders', 'Gia Crovatin']",['Neil Labute']
66,The Pleasures of Being Out of Step,100,57,85,['Documentary'],,1h 27m,2013,"['Andre Braugher', 'David L. Lewis', 'David L. Lewis', 'Tom Hurwitz', 'Samuel D. Pollard']",['David L Lewis']
67,You Are Not My Mother,88,50,75,"['Horror', 'Drama']",,1h 33m,2021,"['Jade Jordan', 'Carolyn Bracken', 'Hazel Doupe', 'Paul Reid', 'Jordanne Jones']",['Kate Dolan']
68,Holiday Inn,100,86,95,"['Holiday', 'Musical', 'Comedy', 'Romance']",,1h 41m,1942,"['Bing Crosby', 'Fred Astaire', 'Marjorie Reynolds', 'Virginia Dale', 'Walter Abel']",['Mark Sandrich']
69,Gasoline Alley,31,87,49,"['Action', 'Mystery & Thriller']",R,1h 37m,2022,"['Bruce Willis', 'Devon Sawa', 'Luke Wilson', 'Kat Foster', 'Kenny Wormald']",['Edward Drake']
70,"Riotsville, USA",92,56,80,"['Documentary', 'History']",,1h 31m,2022,"['Sierra Pettengill', 'Tobi Haslett', 'Sara Archambault', 'Jamila Wignot', 'Charlotte Cook']",['Sierra Pettengill']
71,Take Back the Night,73,29,58,"['Horror', 'Mystery & Thriller']",,1h 30m,2021,"['Emma Fitzpatrick', 'Angela Gulner', 'Jennifer Lafleur', 'Sibongile Mlambo', 'Corina Kinnear']",['Gia Elliot 2']
72,Children of Sin,43,50,45,['Horror'],,1h 35m,2022,"['Meredith Mohler', 'Cami Roebuck', 'Jo-Ann Robinson', 'Lewis Hines', 'Ana-Claire Henley']",['Christopher Wesley Moore']
73,Here Before,86,52,74,"['Mystery & Thriller', 'Drama']",R,1h 23m,2021,"['Andrea Riseborough', ""Jonjo O'Neill"", 'Niamh Dornan', ""Eileen O'Higgins"", 'Martin McCann']",['Stacey Gregg']
74,Sonic the Hedgehog 2,69,96,78,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",PG,2h 2m,2022,"['James Marsden', 'Jim Carrey', 'Ben Schwartz', 'Tika Sumpter', 'Natasha Rothwell']",['Jeff Fowler']
75,Deconstructing Karen,40,57,45,['Documentary'],,1h 15m,2022,"['Saira Rao', 'Regina Jackson', 'Patty Ivins Specht', 'Elisa Bonora', 'Patty Ivins Specht']",['Patty Ivins Specht']
76,The Volcano: Rescue From Whakaari,82,84,82,['Documentary'],PG-13,1h 38m,2022,"['Rory Kennedy', 'Mark Bailey', 'Justin Wilkes', 'Sara Bernstein']",['Rory Kennedy']
77,Charli XCX: Alone Together,85,70,80,"['Documentary', 'Music']",,1h 10m,2021,"['Charli XCX', 'Huck Kwong', 'Sam Pringle', 'Twiggy Rowley', 'Bradley Bell']","['Bradley Bell', 'Pablo Jones Soler 2']"
78,Orca,9,33,17,['Horror'],PG,1h 32m,1977,"['Richard Harris', 'Charlotte Rampling', 'Will Sampson', 'Bo Derek', 'Keenan Wynn']",['1000390 Michael Anderson']
79,Control,71,16,52,"['Sci-Fi', 'Mystery & Thriller']",R,2h 9m,2022,"['Sara Mitich', 'George Tchortov', 'Evie Loiselle', 'Karen LeBlanc', 'James Mark']",['James Mark']
80,Day Shift,56,77,62,"['Action', 'Horror', 'Comedy']",R,1h 53m,2022,"['Jamie Foxx', 'Dave Franco', 'Snoop Dogg', 'Karla Souza', 'Meagan Good']",['Jj Perry']
81,Delia's Gone,31,83,48,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 30m,2022,"['Stephan James', 'Marisa Tomei', 'Paul Walter Hauser', 'Travis Fimmel', 'Genelle Williams']",['Robert Budreau']
82,The Second Age of Aquarius,100,80,93,"['Comedy', 'Fantasy', 'Sci-Fi']",,1h 22m,2022,"['Christina Jacquelyn Calph', 'Michael Ursu', 'Keeshan Giles', 'Martin Olson', 'Brooke Lewis Bellas']",['Staci Layne Wilson']
83,The Apology,50,40,46,"['Holiday', 'Mystery & Thriller']",,1h 31m,2022,"['Anna Gunn', 'Linus Roache', 'Janeane Garofalo', 'Holland Bailey', 'Esmé McSherry']",['Alison Locke']
84,Silent Tongue,38,46,40,['Western'],PG-13,1h 42m,1994,"['Alan Bates', 'Richard Harris', 'Dermot Mulroney', 'River Phoenix', 'Sheila Tousey']",['Sam Shepard']
85,Gateway,100,60,86,"['Horror', 'Mystery & Thriller']",,1h 20m,2021,"['Timmy Creed', 'Kevin Barry', 'Laurence Ubong Williams', 'Fiona Hardy', 'John Ryan Howard']",['Niall Owens']
86,Normal,0,46,15,['Drama'],R,1h 40m,2007,"['Carrie-Anne Moss', 'Kevin Zegers', 'Callum Keith Rennie', 'Lauren Lee Smith', 'Britt Irvin']",['Carl Bessai']
87,Spin Me Round,47,34,42,"['Romance', 'Comedy']",,1h 44m,2022,"['Alison Brie', 'Alessandro Nivola', 'Aubrey Plaza', 'Molly Shannon', 'Lil Rel Howery']",['Jeff Baena']
