69,Crime Story,20,22,20,"['Mystery & Thriller', 'Crime', 'Drama', 'Action']",R,1h 38m,2021,"['Richard Dreyfuss', 'Mira Sorvino', 'D.W. Moffett', 'Cress Williams', 'Pruitt Taylor Vince']",['Adam Lipsius']
70,Fisherman's Friends: One and All,38,81,52,"['Comedy', 'Music']",PG-13,1h 51m,2022,"['James Purefoy', 'Dave Johns', 'Sam Swainsbury', 'Maggie Steed', 'Jade Anouka']","['Meg Leonard', 'Nick Moorcroft']"
71,Mainstream,36,42,38,"['Comedy', 'Drama']",R,1h 34m,2020,"['Andrew Garfield', 'Maya Hawke', 'Nat Wolff', 'Jason Schwartzman', 'Johnny Knoxville']",['Gia Coppola']
72,No Time to Die,83,88,84,"['Action', 'Adventure', 'Mystery & Thriller']",PG-13,2h 43m,2021,"['Daniel Craig', 'Rami Malek', 'Léa Seydoux', 'Lashana Lynch', 'Ben Whishaw']",['Cary Joji Fukunaga']
73,The Box,90,85,88,['Drama'],,1h 32m,2021,"['Hatzín Navarrete', 'Hernán Mendoza', 'Elián González', 'Cristina Zulueta', 'Dulce Alexa Alfaro']",['Lorenzo Vigas']
74,Queen Bees,55,89,66,"['Comedy', 'Drama', 'Romance']",PG-13,1h 41m,2021,"['Ellen Burstyn', 'James Caan', 'Ann-Margret', 'Jane Curtin', 'Loretta Devine']",['Michael Lembeck']
75,Dementer,83,0,55,['Horror'],,1h 20m,2019,"['Katie Groshong', 'Stephanie Kinkle', 'Brandy Edmiston', 'Larry Fessenden', 'Eller Hall']",['Undefined']
76,The Fear of 13,94,86,91,"['Documentary', 'Biography', 'Crime', 'Drama']",,1h 36m,2015,"['Nick Yarris', 'Sammy Silverwatch', 'Herbert A. Fuchs', 'David Sington', 'Chris Riley']",['David Sington']
77,Love Hard,53,90,65,"['Holiday', 'Romance', 'Comedy']",,1h 44m,2021,"['Nina Dobrev', 'Darren Barnet', 'Jimmy O. Yang', 'Lochlyn Munro', 'Harry Shum Jr.']",['Hernan Jimenez']
78,The Witcher: Nightmare of the Wolf,100,83,94,"['Fantasy', 'Action', 'Adventure', 'Animation']",,1h 23m,2021,"['Theo James', 'Mary McDonnell', 'Lara Pulver', 'Graham McTavish', 'Tom Canton']",['Kwang Il Han']
79,Black Out,45,50,46,"['Action', 'Crime', 'Drama', 'Mystery & Thriller']",,1h 32m,2012,"['Raymond Thiry', 'Kim van Kooten', 'Bas Keijzer', 'Renée Fokker', 'Edmond Classen']",['Arne Toonen']
80,Spare Parts,75,50,66,"['Horror', 'Action']",,1h 31m,2020,"['Julian Richings', 'Michelle Argyris', 'Emily Alatalo', 'Jason Rouse', 'Kiriana Stanton']",['Andrew Thomas Hunt 2']
81,The Kissing Booth 3,24,19,22,"['Romance', 'Comedy']",,1h 53m,2021,"['Joey King', 'Joel Courtney', 'Jacob Elordi', 'Taylor Zakhar', 'Maisie Richardson-Sellers']",['Vince Marcello 2']
82,American Badger,60,75,65,"['Action', 'Mystery & Thriller']",,1h 22m,2021,"['Kirk Caouette', 'Andrea Stefancikova', 'Michael Kopsa', 'Milan Stefancik', 'Zak Santiago']",['Kirk Caouette']
83,Clifford the Big Red Dog,58,94,70,"['Kids & Family', 'Comedy', 'Adventure']",PG,1h 37m,2021,"['Darby Camp', 'Jack Whitehall', 'Tony Hale', 'Izaac Wang', 'John Cleese']",['Walt Becker']
84,Saving Banksy,87,82,85,['Documentary'],,1h 20m,2017,"['Glen E. Friedman', 'Kelly ""Risk"" Graval', 'Hera', 'Revok', 'Colin Day']",['Colin Day']
85,Lorelei,90,63,81,['Drama'],,1h 50m,2020,"['Jena Malone', 'Pablo Schreiber', 'Gretchen Corbett', 'Quinn Liebling', 'Dana Millican']",['Sabrina Doyle']
86,The Obituary of Tunde Johnson,95,54,81,"['Drama', 'Mystery & Thriller', 'LGBTQ+']",,1h 44m,2019,"['Steven Silver', 'Spencer Neville', 'Nicola Peltz', 'Sammi Rotibi', 'David James Elliott']",['Ali Leroi 4']
87,Cicada,95,71,87,"['Drama', 'Romance', 'LGBTQ+']",,1h 36m,2020,"['Matthew Fifer', 'Sheldon Brown', 'Sandra Bauleo', 'Jazmin Grace Grimaldi', 'Cobie Smulders']","['Matthew Fifer', 'Kieran Mulcare']"
88,The Beta Test,92,62,82,"['Mystery & Thriller', 'Comedy']",,1h 34m,2021,"['Jim Cummings', 'PJ McCabe', 'Virginia Newcomb', 'Kevin Changaris', 'Olivia Grace Applegate']","['Jim Cummings 3', 'Pj Mccabe 2']"
89,Spencer,83,52,72,"['Biography', 'Drama']",R,1h 51m,2021,"['Kristen Stewart', 'Sally Hawkins', 'Timothy Spall', 'Sean Harris', 'Jack Farthing']",['Pablo Larrain']
90,Red Notice,37,92,55,"['Action', 'Comedy']",PG-13,1h 57m,2021,"['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot', 'Ritu Arya', 'Chris Diamantopoulos']",['Rawson Marshall Thurber']
91,The Wanting Mare,81,38,66,"['Drama', 'Romance']",,1h 29m,2020,"['Anthony Perullo', 'Ashleigh Nutt', 'Christine Kellogg-Darrin', 'Edmond Cofie', 'Jordan Monahan']",['Nicholas Ashe Bateman 2']
92,"Police, Adjective",79,59,72,['Drama'],,1h 50m,2009,"['Dragos Bucur', 'Vlad Ivanov', 'Irina Saulescu', 'Ion Stoica', 'Marian Ghenea']",['1178859 Corneliu Porumboiu']
93,The Crawling Eye,67,30,54,['Sci-Fi'],,1h 24m,1958,"['Forrest Tucker', 'Laurence Payne', 'Jennifer Jayne', 'Janet Munro', 'Warren Mitchell']",['Quentin Lawrence']
94,Rūrangi,100,86,95,"['Drama', 'LGBTQ+']",,1h 27m,2020,"['Elz Carrad', 'Kirk Torrance', 'Awhina-Rose Ashby', 'Arlo Green', 'Ramon Te Wake']",['Max Currie']
95,Under the Stadium Lights,11,47,23,['Drama'],PG-13,1h 48m,2021,"['Laurence Fishburne', 'Milo Gibson', 'Abigail Hawk', 'Acoryé White', 'Carter Redwood']",['Todd Randall']
96,Stand!,57,71,61,"['History', 'Drama']",,1h 50m,2019,"['Laura Wiggins', 'Gregg Henry', 'Marshall Williams', 'Hayley Sales', 'Paul Essiembre']",['Robert Adetuyi']
97,Step Up Revolution,41,68,50,"['Drama', 'Romance', 'Musical']",PG-13,1h 38m,2012,"['Ryan Guzman', 'Kathryn McCormick', 'Misha Gabriel Hamilton', 'Cleopatra Coleman', 'Stephen ""tWitch"" Boss']",['Scott Speer']
98,Nothing Like a Dame,98,78,91,['Documentary'],,1h 23m,2018,"['Judi Dench', 'Maggie Smith', 'Eileen Atkins', 'Joan Plowright', 'Roger Michell']",['Roger Michell']
99,Horror Noire: A History of Black Horror,100,67,88,['Documentary'],,1h 23m,2019,"['Jordan Peele', 'Tony Todd', 'Ken Foree', 'Xavier Burgin', 'Ashlee Blackwell']",['Xavier Burgin']
100,Encounter,56,70,60,"['Sci-Fi', 'Mystery & Thriller']",R,1h 48m,2021,"['Riz Ahmed', 'Octavia Spencer', 'Janina Gavankar', 'Lucian-River Chauhan', 'Rory Cochrane']",['Michael Pearce 11']
101,Worth,82,76,80,"['Drama', 'Biography']",PG-13,1h 58m,2020,"['Michael Keaton', 'Stanley Tucci', 'Amy Ryan', 'Laura Benanti', 'Tate Donovan']",['Sara Colangelo']
102,Spike Island,43,43,43,['Drama'],,1h 36m,2012,"['Elliott Tittensor', 'Nico Mirallegro', 'Emilia Clarke', 'Lesley Manville', 'Jordan Murphy']",['Mat Whitecross']
103,Blood Conscious,80,12,57,['Horror'],,1h 21m,2021,"['Oghenero Gbaje', 'Annette Adams-Brown', 'Jacklyn Collier', 'Nick Damici', 'Lori Hammel']",['Undefined']
104,Bullet Head,61,32,51,"['Crime', 'Drama']",R,1h 33m,2017,"['Antonio Banderas', 'Adrien Brody', 'John Malkovich', 'Ori Pfeffer', 'Alexandra Dinu']",['1196034 Paul Solet']
105,Some Kind of Heaven,93,74,86,['Documentary'],,1h 23m,2020,"['Lance Oppenheim', 'Darren Aronofsky', 'Jeffrey Soros', 'Simon Horsman', 'Kathleen Lingo']",['Lance Oppenheim']
106,PAW Patrol: The Movie,80,97,85,"['Kids & Family', 'Comedy', 'Adventure', 'Action', 'Animation']",G,1h 25m,2021,"['Iain Armitage', 'Marsai Martin', 'Ron Pardo', 'Yara Shahidi', 'Kim Kardashian West']",['Cal Brunker']
107,Language Lessons,96,82,91,"['Comedy', 'Drama']",,1h 31m,2021,"['Mark Duplass', 'Natalie Morales', 'Desean Terry', 'Christine Quesada', 'Natalie Morales']",['Natalie Morales']
108,The Novice,93,72,86,['Mystery & Thriller'],R,1h 34m,2021,"['Isabelle Fuhrman', 'Amy Forsyth', 'Dilone', 'Kate Drummond', 'Jonathan Cherry']",['Lauren Hadaway']
109,"Bob Ross: Happy Accidents, Betrayal & Greed",80,71,77,['Documentary'],,1h 33m,2021,"['Bob Ross', 'Steven Ross', 'Vicky Ross', 'John Thamm', 'Ian Bourland']",['Joshua Rofe']
110,The Last Cruise,100,65,88,['Documentary'],,40m,2021,"['Hannah Olson', 'Nancy Abraham', 'Lisa Heller']",['Hannah Olson']
111,"Sex, Drugs & Bicycles",100,100,99,['Documentary'],,Documentary,2021,"['Ruut Veenhoven', 'David Sedaris', 'Marianne Thieme', 'Arjan Roskam', 'Yvette Luhrs']",['Jonathan Blank']
112,Moby Doc,50,57,52,"['Documentary', 'Music']",,1h 32m,2021,"['Moby', 'David Lynch', 'Julie Mintz', 'Gary Baseman', 'Rob Gordon Bralver']",['Rob Bralver']
113,The Woman in the Window,25,33,27,['Mystery & Thriller'],R,1h 40m,2021,"['Amy Adams', 'Gary Oldman', 'Anthony Mackie', 'Fred Hechinger', 'Wyatt Russell']",['Joe Wright']
114,The Believer,82,82,82,['Drama'],R,1h 38m,2001,"['Ryan Gosling', 'Summer Phoenix', 'Glenn Fitzgerald', 'Theresa Russell', 'Billy Zane']",['Henry Bean']
